type_division,nom_division,siret
DRAC,Nouvelle-Calédonie,
DRAC,La Réunion,17974460200030
DRAC,Bourgogne-Franche-Comté,17210460600014
DRAC,Saint-Pierre-et-Miquelon,
DRAC,Auvergne-Rhône-Alpes,17690460500035
DRAC,Guyane,17973460300014
DRAC,Normandie,17140460100030
DRAC,Martinique,17972460400048
DRAC,Île-de-France,17750460200075
DRAC,Nouvelle-Aquitaine,17330460100052
DRAC,Polynésie française,
DRAC,Corse,17201460700037
DRAC,Guadeloupe,17971460500039
DRAC,Pays-de-la-Loire,17440460800013
DRAC,Provence-Alpes-Côte d'Azur,17130460300011
DRAC,Wallis et Futuna,
DRAC,Centre-Val de Loire,17450460500026
DRAC,Mayotte,13001741100013
DRAC,Bretagne,17350460600018
DRAC,Hauts-de-France,17590460600019
DRAC,Grand-Est,17670460900013
AC,Administration centrale,11004601800013
DRAC,Occitanie,17340460900070